PropertyType,Address,Description,Bedrooms,Bathrooms,Price GBP,Agent,Tel,Latitude,Longitude,geometry
Flat,"St. Stephens Gardens, London W2",2 bed flat to rent,2.0,2.0,3250.0,"Marketed by Mountgrange Heritage - Notting Hill, W11",020 8033 9964,51.51872,-0.19465,POINT (-0.19465 51.51872)
Flat,"Balls Pond Road, London N1",1 bed flat to rent,1.0,1.0,1750.0,"Marketed by Gabriella Property Consultants, WD6",020 8033 5071,51.54661,-0.0866,POINT (-0.0866 51.54661)
Room,"Eric Street, Mile End E3",Room to rent,,,888.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.52518,-0.03394,POINT (-0.03394 51.52518)
Room,"Eric Street, Mile End E3",Room to rent,,,867.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.52518,-0.03394,POINT (-0.03394 51.52518)
Flat,"Manhattan Loft Gardens, 20 International Way, London E20",1 bed flat to rent,1.0,1.0,2297.0,"Marketed by Capital Heights - City, E1",020 8022 1189,51.54475,-0.00833,POINT (-0.008330000000000001 51.54475)
Room,"Campbell Road, Bromley-By-Bow E3",Room to rent,,,953.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.52735,-0.02114,POINT (-0.02114 51.52735)
Flat,"Manhattan Loft Gardens, 20 International Way, London E20",2 bed flat to rent,2.0,1.0,2548.0,"Marketed by Capital Heights - City, E1",020 8022 1189,51.54475,-0.00833,POINT (-0.008330000000000001 51.54475)
Flat,"Shirland Road, London W9",2 bed flat to rent,2.0,1.0,2275.0,"Marketed by Chestertons - Little Venice, W9",020 8115 2515,51.5262,-0.19328,POINT (-0.19328 51.5262)
Flat,"Wards Wharf Approach, London E16",2 bed flat to rent,2.0,2.0,1900.0,"Marketed by Arii Property Group, IG11",020 8033 3631,51.50024,0.03856,POINT (0.03856 51.50024)
Flat,"Flotilla House, Royal Wharf, London E16",1 bed flat to rent,1.0,1.0,1560.0,"Marketed by JOHNS&CO - Royal Wharf, E16",020 8033 7812,51.49952,0.06921,POINT (0.06920999999999999 51.49952)
Flat,"St. Johns Wood Park, London NW8",2 bed flat to rent,2.0,2.0,13000.0,"Marketed by Charmill Residential, W9",020 8033 6337,51.5409,-0.17314,POINT (-0.17314 51.5409)
Flat,"City Road, London EC1Y",1 bed flat to rent,1.0,1.0,2167.0,"Marketed by Dexters - Shoreditch, EC2A",020 7483 6372,51.52962,-0.09706,POINT (-0.09705999999999999 51.52962)
Room,"Benson Avenue, Upton Park E6",Room to rent,,,628.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.52895,0.03843,POINT (0.03843 51.52895)
Room,"Waterside House, 12 Theed Street, Waterloo, Southwark SE1",Room to rent,,,1148.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.50526,-0.10941,POINT (-0.10941 51.50526)
Room,"New Providence Wharf, 1 Fairmont Avenue, Canary Wharf, Blackwall E14",Room to rent,,,1192.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.512,-0.03296,POINT (-0.03296 51.512)
Room,"Phoenix Heights, Mastmaker Rd, South Quay, Isle Of Dogs E14",Room to rent,,,953.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.49029,-0.00346,POINT (-0.00346 51.49029)
Flat,"Barking Road, Plaistow E13",4 bed flat to rent,4.0,1.0,2000.0,"Marketed by Arii Property Group, IG11",020 8033 3631,51.53071,0.03845,POINT (0.03845 51.53071)
Flat,"Manhattan Loft Gardens, 20 International Way, London E20",1 bed flat to rent,1.0,1.0,2188.0,"Marketed by Capital Heights - City, E1",020 8022 1189,51.54475,-0.00833,POINT (-0.008330000000000001 51.54475)
Town house,"Wells Walk, Forest Gate E7",4 bed town house to rent,4.0,3.0,2750.0,"Marketed by Residenza Properties Tooting Ltd, SW17",020 8166 7557,51.55185,0.02473,POINT (0.02473 51.55185)
Flat,"Drayton Gardens, Chelsea, London SW10",5 bed flat to rent,5.0,3.0,10183.0,"Marketed by Fraser Bond, W1U",020 8022 9455,51.48879,-0.18096,POINT (-0.18096 51.48879)
Maisonette,"Heathcote Way, Yiewsley, West Drayton UB7",2 bed maisonette to rent,2.0,1.0,1150.0,"Marketed by Coopers Residential - Uxbridge, UB8",01895 647817,51.51286,-0.47819,POINT (-0.47819 51.51286)
Flat,"Harrington Gardens, London SW7",2 bed flat to rent,2.0,2.0,2600.0,"Marketed by Hamptons - Chelsea Lettings, SW10",020 3463 6921,51.4923,-0.18624,POINT (-0.18624 51.4923)
Flat,"Manhattan Loft Gardens, 20 International Way, London E20",2 bed flat to rent,2.0,2.0,2600.0,"Marketed by Capital Heights - City, E1",020 8022 1189,51.54475,-0.00833,POINT (-0.008330000000000001 51.54475)
Flat,"Faraday House, Velocity Way, Enfield EN3",1 bed flat to rent,1.0,1.0,1050.0,"Marketed by Kings  Lettings - Enfield Highway, EN3",020 3641 0065,51.67146,-0.02202,POINT (-0.02202 51.67146)
Flat,"Grove Hill, South Woodford E18",2 bed flat to rent,2.0,1.0,1400.0,"Marketed by Harlands, E11",020 8022 0078,51.59393,0.02154,POINT (0.02154 51.59393)
Room,"Wimborne House, Harewood Avenue, Marylebone NW1",Room to rent,,,1018.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.52376,-0.16476,POINT (-0.16476 51.52376)
Room,"St. John's Way, Archway N19",Room to rent,,,953.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.56615,-0.13361,POINT (-0.13361 51.56615)
Terraced house,"Ambassador Square, Isle Of Dogs, Docklands, London E14",6 bed terraced house to rent,6.0,5.0,4550.0,"Marketed by Reiss- Samuels, E14",020 7768 1749,51.50502,-0.02959,POINT (-0.02959 51.50502)
Shared accommodation,"Yarrow House, Stewart Street, Canary Wharf E14",5 bed shared accommodation to rent,5.0,,737.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,54.10811,-3.23824,POINT (-3.23824 54.10811)
Room,"Cedar Court, 1 Royal Oak Yard, Borough/London Bridge SE1",Room to rent,,,910.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.49899,-0.08208,POINT (-0.08208 51.49899)
Flat,"Warren House, Beckford Close, Warwick Road, London W14",2 bed flat to rent,2.0,2.0,2383.0,"Marketed by Alexander Lewis, W8",020 3463 9526,51.49438,-0.20233,POINT (-0.20233 51.49438)
Studio,"Manhattan Loft Gardens, 20 International Way, London E20",Studio to rent,1.0,1.0,2149.0,"Marketed by Capital Heights - City, E1",020 8022 1189,51.54475,-0.00833,POINT (-0.008330000000000001 51.54475)
Studio,"Green Lanes, London N13",Studio to rent,1.0,1.0,725.0,"Marketed by Two Six Homes, N13",020 8115 7045,51.63347,-0.09398,POINT (-0.09397999999999999 51.63347)
Flat,"Warren House, Beckford Close, Kensington, London W14",2 bed flat to rent,2.0,2.0,3033.0,"Marketed by Alexander Lewis, W8",020 3463 9526,51.49377,-0.20238,POINT (-0.20238 51.49377)
Flat,"Huntsmore House, 35 Pembroke Road, London W8",2 bed flat to rent,2.0,1.0,2600.0,"Marketed by Alexander Lewis, W8",020 3463 9526,51.49446,-0.20006,POINT (-0.20006 51.49446)
Property,"Sheppey Road, Dagenham RM9",3 bed property to rent,3.0,1.0,1547.0,"Marketed by Abby Homes, E14",020 3641 9892,51.5397,0.12707,POINT (0.12707 51.5397)
Terraced house,"Lennox Gardens, London SW1X",2 bed terraced house to rent,2.0,2.0,3445.0,"Marketed by Marsh & Parsons - Chelsea, SW3",020 3463 9510,51.49587,-0.16368,POINT (-0.16368 51.49587)
Flat,"The Alders, West Wickham, London BR4",1 bed flat to rent,1.0,1.0,1000.0,"Marketed by Pedder - Crystal Palace, SE19",020 3641 4484,51.37562,-0.02525,POINT (-0.02525 51.37562)
Room,"Caravel Close, South Quay E14",Room to rent,,,932.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,50.43161,-3.55688,POINT (-3.55688 50.43161)
Flat,"Manhattan Loft Gardens, 20 International Way, London E20",2 bed flat to rent,2.0,1.0,2600.0,"Marketed by Capital Heights - City, E1",020 8022 1189,51.54475,-0.00833,POINT (-0.008330000000000001 51.54475)
Flat,"Spring Street, Paddington, London W2",1 bed flat to rent,1.0,1.0,2145.0,"Marketed by Alexander Lewis, W8",020 3463 9526,51.51486,-0.17546,POINT (-0.17546 51.51486)
Flat,"Camellia House, 338 Queens Town Road, London SW11",2 bed flat to rent,2.0,2.0,3683.0,"Marketed by Alexander Lewis, W8",020 3463 9526,51.48024,-0.14889,POINT (-0.14889 51.48024)
Town house,"Wells Walk, Forest Gate E7",3 bed town house to rent,3.0,2.0,2450.0,"Marketed by Residenza Properties Tooting Ltd, SW17",020 8166 7557,51.55185,0.02473,POINT (0.02473 51.55185)
Room,"Jamestown Way, East India E14",Room to rent,,,780.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.50848,0.0018,POINT (0.0018 51.50848)
Room,"Churchill Road, Prince Regent E16",Room to rent,,,823.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.51228,0.03232,POINT (0.03232 51.51228)
Room,"Colegrave Road, Leyton E15",Room to rent,,,672.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.55089,-0.00298,POINT (-0.00298 51.55089)
Flat,"Devonshire Hill Lane, London N17",1 bed flat to rent,1.0,,1000.0,"Marketed by Kings  Lettings - Tottenham, N17",020 3463 9314,51.60662,-0.08404,POINT (-0.08404 51.60662)
Flat,"Kelvin Road, London N5",1 bed flat to rent,1.0,1.0,1430.0,"Marketed by Alwyne Estates, N1",020 3478 3599,51.55342,-0.09576,POINT (-0.09576 51.55342)
Maisonette,"Neale Close, Hampstead Garden Suburb N2",2 bed maisonette to rent,2.0,1.0,1625.0,"Marketed by David Harris & Co, N3",020 3478 3173,51.59093,-0.17882,POINT (-0.17882 51.59093)
Flat,"4B Merchant Square East, London W2",3 bed flat to rent,3.0,2.0,7150.0,"Marketed by Fraser & Co - Paddington, W2",020 3463 9599,51.51896,-0.17153,POINT (-0.17153 51.51896)
Room,"Basildon Avenue, Ilford IG5",Room to rent,,,802.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.59561,0.07147,POINT (0.07147000000000001 51.59561)
Flat,"The Templars, Finchley Road, Temple Fortune NW11",2 bed flat to rent,2.0,2.0,3250.0,"Marketed by Litchfields - Hampstead Garden Suburb, NW11",020 3641 4301,51.58192,-0.19906,POINT (-0.19906 51.58192)
Room,"Kirton Road, Upton Park E13",Room to rent,,,693.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.5322,0.03395,POINT (0.03395 51.5322)
Flat,"Queen's Gate, London SW7",1 bed flat to rent,1.0,1.0,1625.0,"Marketed by Landstones, SW5",020 3641 9836,51.49583,-0.17947,POINT (-0.17947 51.49583)
Room,"(3) Settles Street, Whitechapel E1",Room to rent,,,802.0,"Marketed by Thecityrooms.com Ltd, E1",020 8115 7006,51.51674,-0.0646,POINT (-0.0646 51.51674)
Detached house,"Audley Road, Ealing W5",5 bed detached house to rent,5.0,2.0,4250.0,"Marketed by Lexstone, NW1",020 3641 0259,51.5211,-0.29064,POINT (-0.29064 51.5211)
Flat,"Oakfield Road, Croydon CR0",1 bed flat to rent,1.0,1.0,925.0,"Marketed by Martin & Co Croydon, CR2",020 3641 2122,51.38107,-0.10177,POINT (-0.10177 51.38107)
Flat,"4B Merchant Square East, London W2",3 bed flat to rent,3.0,2.0,6045.0,"Marketed by Fraser & Co - Paddington, W2",020 3463 9599,51.51896,-0.17153,POINT (-0.17153 51.51896)
Flat,"75 Blakes Road, London SE15",1 bed flat to rent,1.0,1.0,1250.0,"Marketed by JT Clarke London, SE15",020 3544 5903,51.47971,-0.08073,POINT (-0.08073 51.47971)
Flat,"Coleridge Road, London N4",3 bed flat to rent,3.0,1.0,2400.0,"Marketed by David Andrew Estates, N5",020 3641 9553,51.56223,-0.10914,POINT (-0.10914 51.56223)
Terraced bungalow,"Moremead Road, London SE6",3 bed terraced bungalow to rent,3.0,1.0,,"Marketed by 99Home Ltd, HA0",020 8115 8799,51.42778,-0.02572,POINT (-0.02572 51.42778)
Studio,"Lindsey Close, Mitcham CR4",Studio to rent,1.0,1.0,900.0,"Marketed by We Can Properties, SW16",020 8033 0399,51.39953,-0.12659,POINT (-0.12659 51.39953)
Terraced house,"Craven Garden, Barkingside IG6, Ig1, Ig2,",3 bed terraced house to rent,3.0,1.0,1800.0,"Marketed by Vibrant Estates, IG6",020 8022 5390,51.58841,0.08603,POINT (0.08603 51.58841)
Maisonette,"Roads Place, Islington, London N19",1 bed maisonette to rent,1.0,1.0,1545.0,"Marketed by Drivers & Norris, N7",020 3463 0619,51.56518,-0.11968,POINT (-0.11968 51.56518)
Property,"Northborough Road, London SW16",2 bed property to rent,2.0,1.0,1450.0,"Marketed by James Alexander, SW16",020 3551 9840,51.40694,-0.12245,POINT (-0.12245 51.40694)
Semi-detached house,"Wolseley Road, London N8",6 bed semi-detached house to rent,6.0,3.0,3500.0,"Marketed by Alex Crown Lettings & Estate Agents, N19",020 3641 8408,51.58019,-0.13139,POINT (-0.13139 51.58019)
Terraced house,"Wolseley Road, London N8",5 bed terraced house to rent,5.0,2.0,3500.0,"Marketed by Alex Crown Lettings & Estate Agents, N19",020 3641 8408,51.58019,-0.13139,POINT (-0.13139 51.58019)
Flat,"Radnor Terrace, Kensington, London W14",1 bed flat to rent,1.0,,2492.0,"Marketed by Chestertons - Kensington, W8",020 8115 2466,51.49594,-0.20692,POINT (-0.20692 51.49594)
Studio,"1 Park Drive, London E14",Studio to rent,1.0,1.0,2383.0,"Marketed by CHAMPS UK Property Asset Management, SE1",020 8115 2344,51.50237,-0.01377,POINT (-0.01377 51.50237)
Terraced house,"Holborn Road, London E13",3 bed terraced house to rent,3.0,1.0,1300.0,"Marketed by McKenzie Homes, E13",020 8128 1568,51.5195,0.03127,POINT (0.03127 51.5195)
Studio,"Uxbridge Road, London W12",Studio to rent,1.0,1.0,900.0,"Marketed by Adilsons Properties Ltd, HA9",020 3641 4294,51.50643,-0.24305,POINT (-0.24305 51.50643)
Town house,"Brookhill Road, London SE18",3 bed town house to rent,3.0,3.0,2400.0,"Marketed by John Payne - Woolwich, SE18",020 8115 4087,51.48739,0.06677,POINT (0.06677 51.48739)
Flat,"Springfield Lane, London NW6",2 bed flat to rent,2.0,1.0,1690.0,"Marketed by Northwest 6, NW6",020 8115 1313,51.53696,-0.19131,POINT (-0.19131 51.53696)
Flat,"Effra Parade, London SW2",1 bed flat to rent,1.0,1.0,1400.0,"Marketed by Dexters - Clapham High Street, SW4",020 7483 6364,51.45692,-0.10957,POINT (-0.10957 51.45692)
Flat,"Hadley Street, London NW1",3 bed flat to rent,3.0,2.0,3250.0,"Marketed by Kinleigh Folkard & Hayward - St John's Wood Lettings, NW8",020 8033 2738,51.54538,-0.14598,POINT (-0.14598 51.54538)
Flat,"Glengall Road, London SE15",2 bed flat to rent,2.0,1.0,1525.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.48495,-0.07238,POINT (-0.07238 51.48495)
Flat,"Graham Road, Harrow Weald HA3",2 bed flat to rent,2.0,1.0,1250.0,"Marketed by Allan Howard & Co, HA3",020 7768 0983,51.6099,-0.35491,POINT (-0.35491 51.6099)
Flat,"Dempsey Court, Adenmore Road, London SE6",3 bed flat to rent,3.0,2.0,1900.0,"Marketed by Bryan & Keegan Ltd, SE4",020 7768 1064,51.44923,-0.02416,POINT (-0.02416 51.44923)
Studio,"St. Marys Road, Ilford IG1",Studio to rent,1.0,1.0,800.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.55974,0.08199,POINT (0.08198999999999999 51.55974)
Flat,"Princess Park Manor, Royal Drive, Friern Barnet N11",2 bed flat to rent,2.0,2.0,1750.0,"Marketed by Penny and Lisa Lettings, N3",020 3478 3165,51.61721,-0.14854,POINT (-0.14854 51.61721)
Flat,"Rainham Road, Dagenham RM10",3 bed flat to rent,3.0,1.0,1450.0,"Marketed by Twenty20 Estates Ltd, IG8",020 8033 0419,51.53786,0.16919,POINT (0.16919 51.53786)
Flat,"Evering Road, London E5",2 bed flat to rent,2.0,1.0,1950.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.55738,-0.0727,POINT (-0.0727 51.55738)
Flat,"Merchant Square East, London W2",3 bed flat to rent,3.0,,6262.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.5192,-0.17157,POINT (-0.17157 51.5192)
Flat,"Merchant Square East, London W2",3 bed flat to rent,3.0,,6478.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.5192,-0.17157,POINT (-0.17157 51.5192)
Flat,"Hill Street, Mayfair, London W1J",3 bed flat to rent,3.0,,7020.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Merchant Square East, London W2",4 bed flat to rent,4.0,,8623.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.5192,-0.17157,POINT (-0.17157 51.5192)
Detached house,"Bridge Street, London SW1A",7 bed detached house to rent,7.0,,95333.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.50091,-0.12514,POINT (-0.12514 51.50091)
Flat,"Abbey Orchard Street, London SW1P",1 bed flat to rent,1.0,,2253.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.49832,-0.13141,POINT (-0.13141 51.49832)
Flat,"Merchant Square East, London W2",1 bed flat to rent,1.0,,2730.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.5192,-0.17157,POINT (-0.17157 51.5192)
Flat,"Fulham Road, London SW3",1 bed flat to rent,1.0,,2925.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.48061,-0.18821,POINT (-0.18821 51.48061)
Flat,"Hill Street, Mayfair, London W1J",1 bed flat to rent,1.0,,2925.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Hill Street, Mayfair, London W1J",1 bed flat to rent,1.0,,3012.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Garrett Mansions, West End Gate, London W2",1 bed flat to rent,1.0,,3423.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.57984,-0.00274,POINT (-0.00274 51.57984)
Flat,"Charles Clowes Walk, London SW11",2 bed flat to rent,2.0,,3532.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,54.87287,-1.67999,POINT (-1.67999 54.87287)
Flat,"Merchant Square East, London W2",2 bed flat to rent,2.0,,3727.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.5192,-0.17157,POINT (-0.17157 51.5192)
Flat,"Charles Clowes Walk, London SW11",2 bed flat to rent,2.0,,3748.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,54.87287,-1.67999,POINT (-1.67999 54.87287)
Flat,"Charles Clowes Walk, London SW11",2 bed flat to rent,2.0,,4008.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,54.87287,-1.67999,POINT (-1.67999 54.87287)
Flat,"Abbey Orchard Street, London SW1P",2 bed flat to rent,2.0,,4073.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.49832,-0.13141,POINT (-0.13141 51.49832)
Flat,"Hill Street, Mayfair, London W1J",2 bed flat to rent,2.0,,4420.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Garrett Mansions, West End Gate, London W2",2 bed flat to rent,2.0,,4771.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.57984,-0.00274,POINT (-0.00274 51.57984)
Studio,"Hill Street, Mayfair, London W1J",Studio to rent,1.0,1.0,2167.0,"Marketed by Luxury Living Homes International, WC2H",020 3641 0241,51.50849,-0.14881,POINT (-0.14881 51.50849)
Property,"Albert Road, Richmond TW10",2 bed property to rent,2.0,1.0,2350.0,"Marketed by Dexters - Richmond, TW9",020 8288 0828,51.46114,-0.29577,POINT (-0.29577 51.46114)
Flat,"Pemberton Road, London N4",2 bed flat to rent,2.0,1.0,1250.0,"Marketed by Home & Away Estates, EN4",020 8115 7682,51.58028,-0.1046,POINT (-0.1046 51.58028)
Flat,"St Stephens Gardens, London W2",2 bed flat to rent,2.0,2.0,3250.0,"Marketed by Londonwide Estates, W9",020 3551 4989,51.51872,-0.19465,POINT (-0.19465 51.51872)
Studio,"Fountains Close, Feltham TW13",Studio to rent,1.0,1.0,900.0,"Marketed by UK Residential Management Ltd, TW3",020 8115 7886,51.43997,-0.37794,POINT (-0.37794 51.43997)
Maisonette,"Millbrook Avenue, Welling DA16",2 bed maisonette to rent,2.0,1.0,1200.0,"Marketed by Parris Residential, DA7",020 8115 5469,51.45952,0.084,POINT (0.08400000000000001 51.45952)
Flat,"Minotaur House, Royal Arsenal Riverside SE18",1 bed flat to rent,1.0,1.0,1400.0,"Marketed by B&C Properties, SE3",020 3641 1876,51.49282,0.0714,POINT (0.07140000000000001 51.49282)
Flat,"York Road, London SW11",2 bed flat to rent,2.0,1.0,1900.0,"Marketed by Urban Lettings, SW11",020 3463 9320,51.46928,-0.17787,POINT (-0.17787 51.46928)
Flat,"Lena Gardens, Hammersmith, London W6",2 bed flat to rent,2.0,1.0,1995.0,"Marketed by Foxtons - Shepherds Bush, W12",020 3641 0585,51.4974,-0.22396,POINT (-0.22396 51.4974)
Flat,"Mallord Street, Chelsea, London SW3",1 bed flat to rent,1.0,1.0,2817.0,"Marketed by Foxtons - South Kensington, SW7",020 8128 9215,51.48538,-0.17498,POINT (-0.17498 51.48538)
Flat,"Kingfisher Heights, Royal Wharf E16",1 bed flat to rent,1.0,1.0,1495.0,"Marketed by Dockley's, E14",020 8115 8380,51.50528,0.02776,POINT (0.02776 51.50528)
Flat,"Regency Lodge, London NW3",3 bed flat to rent,3.0,2.0,3467.0,"Marketed by Hanover, NW8",020 3463 6940,51.54203,-0.17443,POINT (-0.17443 51.54203)
Studio,"Courtfield Gardens, Earls Court, London SW5",Studio to rent,1.0,1.0,997.0,"Marketed by Interlet International Sales and Lettings, W8",020 3551 4988,51.49304,-0.18673,POINT (-0.18673 51.49304)
Flat,"St John's Wood Court, London NW8",3 bed flat to rent,3.0,2.0,3683.0,"Marketed by Hanover, NW8",020 3463 6940,51.5411,-0.1748,POINT (-0.1748 51.5411)
Flat,"Muswell Avenue, London N10",3 bed flat to rent,3.0,2.0,2400.0,"Marketed by Tatlers, N10",020 3542 2136,51.59452,-0.14339,POINT (-0.14339 51.59452)
Flat,"Princes Avenue, London N22",2 bed flat to rent,2.0,1.0,1650.0,"Marketed by Tatlers, N10",020 3542 2136,51.60008,-0.12662,POINT (-0.12662 51.60008)
Flat,"Rosebery Road, Muswell Hill, London N10",2 bed flat to rent,2.0,1.0,3034.0,"Marketed by Foxtons - Crouch End, N8",01224 088094,51.59761,-0.13905,POINT (-0.13905 51.59761)
Flat,"Station Road, London NW4",2 bed flat to rent,2.0,2.0,1625.0,"Marketed by Alan Goldin Estates, NW11",020 3641 0373,51.5839,-0.23353,POINT (-0.23353 51.5839)
Flat,"Skerne Road, Kingston Upon Thames KT2",2 bed flat to rent,2.0,2.0,2100.0,"Marketed by Dexters - Kingston, KT1",020 8546 3003,51.41376,-0.30497,POINT (-0.30497 51.41376)
Studio,"Sutton Court Road, Chiswick, London W4",Studio to rent,1.0,1.0,1049.0,"Marketed by Barnard Marcus - Chiswick, W4",020 8022 6193,51.48737,-0.26803,POINT (-0.26803 51.48737)
Terraced house,"Longfellow Road, Worcester Park KT4",3 bed terraced house to rent,3.0,,1600.0,"Marketed by Barnard Marcus - Worcester Park, KT4",020 8115 8389,51.38315,-0.23931,POINT (-0.23931 51.38315)
Flat,"Skerne Road, Kingston Upon Thames KT2",2 bed flat to rent,2.0,2.0,2100.0,"Marketed by Waterview - Thames Ditton, KT6",020 8398 8550,51.41376,-0.30497,POINT (-0.30497 51.41376)
Studio,"Palmerston Crescent, Palmers Green N13",Studio to rent,1.0,1.0,999.0,"Marketed by Atlantic, E4",020 8115 2040,51.61448,-0.11037,POINT (-0.11037 51.61448)
Room,"Shaftesbury Gardens, London NW10",Room to rent,1.0,,870.0,"Marketed by Ideal Flatmate, N5",020 3641 6746,51.52711,-0.25239,POINT (-0.25239 51.52711)
Semi-detached house,"Rushden Gardens, Ilford IG5",3 bed semi-detached house to rent,3.0,2.0,2000.0,"Marketed by Swayam Lets Ltd, E6",020 3478 3311,51.58768,0.0697,POINT (0.0697 51.58768)
Town house,"Fellows Road, London NW3",4 bed town house to rent,4.0,3.0,4000.0,"Marketed by Parkheath - Belsize Park, NW3",020 8022 5753,51.54325,-0.1716,POINT (-0.1716 51.54325)
Studio,"Westgate House, Hanger Lane, Ealing, London W5",Studio to rent,1.0,1.0,1225.0,"Marketed by LiFE Residential - West London, NW10",020 3589 1768,51.53173,-0.2949,POINT (-0.2949 51.53173)
Flat,"Defoe House, London City Island, London E14",1 bed flat to rent,1.0,1.0,1733.0,"Marketed by JOHNS&CO - New Providence Wharf, E14",020 8115 9671,51.51129,0.00609,POINT (0.00609 51.51129)
Flat,"Roehampton House, 39 Academy Way, Dagenham, Essex RM8",2 bed flat to rent,2.0,2.0,1395.0,"Marketed by RE/MAX Star, E16",020 3641 1886,51.54948,0.11121,POINT (0.11121 51.54948)
Flat,"Stanhope Mews East, London SW7",3 bed flat to rent,3.0,3.0,8450.0,"Marketed by Kinleigh Folkard & Hayward - South Kensington Lettings, SW7",020 8033 2725,51.49462,-0.17967,POINT (-0.17967 51.49462)
Studio,"Wards Wharf Approach, London E16",Studio to rent,1.0,1.0,1200.0,"Marketed by Henry Wiltshire International, E14",020 3463 0278,51.50024,0.03856,POINT (0.03856 51.50024)
Studio,"Wards Wharf Approach, London E16",Studio to rent,1.0,1.0,1200.0,"Marketed by Henry Wiltshire, E16",020 8033 0877,51.50024,0.03856,POINT (0.03856 51.50024)
Flat,"Rainville Road, London W6",1 bed flat to rent,1.0,1.0,2730.0,"Marketed by EMD Estates International Limited, W8",020 3641 9440,51.48162,-0.22289,POINT (-0.22289 51.48162)
Flat,"Moulins Road, London E9",1 bed flat to rent,1.0,1.0,1350.0,"Marketed by Sovereign House, E9",020 3641 1503,51.5389,-0.04864,POINT (-0.04864 51.5389)
Detached house,"Walpole Road, Surbiton KT6",2 bed detached house to rent,2.0,1.0,2150.0,"Marketed by Seymours - Surbiton, KT6",020 8115 8805,51.38951,-0.30446,POINT (-0.30446 51.38951)
Flat,"Nell Gwynn House, Sloane Avenue, Chelsea SW3",1 bed flat to rent,1.0,1.0,2166.0,"Marketed by Brinkley's Estate Agents, SW15",020 3463 2554,51.39491,-0.43912,POINT (-0.43912 51.39491)
Flat,"Havelock Road, London SW19",2 bed flat to rent,2.0,1.0,1550.0,"Marketed by Brinkley's Estate Agents, SW19",020 3641 4161,51.42607,-0.18844,POINT (-0.18844 51.42607)
Flat,"56 Chelsea Crescent Chelsea Harbour, London SW10",2 bed flat to rent,2.0,2.0,4983.0,"Marketed by Fraser Bond, W1U",020 8022 9455,51.47432,-0.18155,POINT (-0.18155 51.47432)
Studio,"Argyle Road, London W13",Studio to rent,1.0,1.0,1075.0,"Marketed by Akelius Residential, WC1A",020 8128 0233,51.51693,-0.32283,POINT (-0.32283 51.51693)
Studio,"Frobisher Road, Erith DA8",Studio to rent,1.0,1.0,775.0,"Marketed by A&M Property Services, DA5",020 3544 3893,51.4776,0.18777,POINT (0.18777 51.4776)
